VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,2019-04-08 13:23:48,2019-04-08 14:00:00,N,5,174,127,1,4.0,12.0,0.0,0.0,0.0,0.0,,0.0,12.0,5,2.0,0.0
1,2019-04-08 16:24:39,2019-04-08 16:54:48,N,1,174,213,1,6.2,24.0,1.0,0.5,0.0,0.0,,0.3,25.8,5,1.0,0.0
1,2019-04-10 14:44:00,2019-04-10 16:05:25,N,1,43,226,1,11.6,54.5,0.0,0.5,0.0,6.12,,0.3,61.42,5,1.0,0.0
1,2019-04-11 06:43:18,2019-04-11 06:58:39,N,1,116,230,1,5.7,18.5,2.75,0.5,0.0,0.0,,0.3,22.05,5,1.0,2.75
1,2019-04-12 09:10:53,2019-04-12 09:41:24,N,1,243,242,2,9.0,29.5,0.0,0.5,0.0,0.0,,0.3,30.3,5,1.0,0.0
1,2019-04-14 10:28:30,2019-04-14 10:39:24,N,1,200,174,1,3.5,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,5,1.0,0.0
1,2019-04-17 00:02:29,2019-04-17 00:43:29,Y,1,256,243,2,14.7,44.5,3.25,0.5,0.0,0.0,,0.3,48.55,5,1.0,2.75
1,2019-04-17 12:41:26,2019-04-17 13:09:51,N,5,174,69,1,4.6,13.0,0.0,0.0,0.0,0.0,,0.0,13.0,5,2.0,0.0
1,2019-04-18 17:12:34,2019-04-18 17:13:03,N,5,169,94,1,0.2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5,2.0,0.0
1,2019-04-18 18:41:25,2019-04-18 18:41:48,N,1,166,166,1,5.8,2.5,1.0,0.5,0.0,0.0,,0.3,4.3,5,1.0,0.0
1,2019-04-23 10:59:40,2019-04-23 11:35:49,N,5,168,185,1,7.8,15.0,0.0,0.0,0.0,0.0,,0.0,15.0,5,2.0,0.0
1,2019-04-26 19:15:08,2019-04-26 19:15:27,N,1,75,75,1,7.0,2.5,1.0,0.5,0.0,0.0,,0.3,4.3,5,1.0,0.0
1,2019-04-27 03:45:34,2019-04-27 03:52:29,N,1,129,56,1,1.8,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,5,1.0,0.0
1,2019-05-01 16:23:54,2019-05-01 16:25:41,N,1,260,260,1,1.5,3.0,1.0,0.5,0.0,0.0,,0.3,4.8,5,1.0,0.0
1,2019-05-03 18:23:41,2019-05-03 19:09:46,N,1,174,41,1,8.7,35.0,1.0,0.5,0.0,0.0,,0.3,36.8,5,1.0,0.0
1,2019-05-04 17:19:57,2019-05-04 17:26:58,N,1,7,7,2,0.9,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,5,1.0,0.0
